created_at,tweet_id,query,coordinates,coordinates_type,country_code,place_full_name,retweet_count,text,in_reply_to_status_id_str,is_quote_status,tweet_favorite_count,user_description,user_fovourites_count,followers_count,friends_count,user_profile_location,time_zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Sep 30 18:09:01 +0000 2016,7.82E+17,soylent,,,,,0,How @Soylent Ships A Trillion Calories Per Month - by @johncoogan https://t.co/AW4HmYL6JN https://t.co/GpcRAdlJS8,,FALSE,0,"Share your stack, see what other developers are using. #500strong",,5155,862,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Sep 30 17:16:28 +0000 2016,7.82E+17,soylent,,,,,0,@owenthomas there's soylent ads on busses too!,7.82E+17,FALSE,1,"I'm Kia (like the car). #Cal alumna (Go Bears!), #SiliconValley girl, @Twitter addict, @FortuneMagazine tech reporter.",,3978,890,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Sep 30 06:57:45 +0000 2016,7.82E+17,soylent,,,,,1,RT @oneminuteapp: #SiliconValley hipster bag 101 - @soylent #Coffeeist \u2611\ufe0f \U0001f4f7\u2611\ufe0f \U0001f60e\u2611\ufe0f https://t.co/dTbZKK2Mwb,,FALSE,0,\U0001f3a8 @oneminuteapp,,1479,75,"SF,CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Sep 30 06:55:49 +0000 2016,7.82E+17,soylent,,,,,1,#SiliconValley hipster bag 101 - @soylent #Coffeeist \u2611\ufe0f \U0001f4f7\u2611\ufe0f \U0001f60e\u2611\ufe0f https://t.co/dTbZKK2Mwb,,FALSE,2,"Out of nowhere, we ask y'all to \U0001f4f8 raw moments \U0001f525. Would you capture it, or just let it slip? \U0001f35d\U0001f3b6",,699,129,"San Francisco, CA",Tijuana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Sep 30 04:25:29 +0000 2016,7.82E+17,soylent,,,,,0,@perMicah Yes. It's the @Medium Department of Release Notes and Magical Mischief\u2122. They are paid in Soylent and La Croix.,7.82E+17,FALSE,3,"Head of Design at Medium. Past lives include Uber, GE, and Adaptive Path. I like to poke things with sticks. #ImWithHer",,11492,1047,San Francisco,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 29 23:50:47 +0000 2016,7.82E+17,soylent,,,,,0,@soylent appreciate you getting rid of the foil under the 2.0 bottle caps,,FALSE,0,Oh you failures of infinity!,,23,61,San Francisco,Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 29 21:41:29 +0000 2016,7.82E+17,soylent,,,,,0,"Ok, this product from @soylent actually tastes good. I'm guessing I shouldn't drink 4 of these a day though... https://t.co/zycm03QLcf",,FALSE,0,Entrepreneur. Amateur salsero. CEO at Tripstr.,,398,362,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 29 18:27:04 +0000 2016,7.82E+17,soylent,"[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]]",Polygon,US,"San Francisco, CA",0,"I swear, I just spilled a little Soylent on my pants. That's not semen. Oh whatever.",,FALSE,1,Enthusiast,,611,683,"San Mateo, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 29 18:18:50 +0000 2016,7.82E+17,soylent,,,,,0,"@cushbomb new business idea: uber, but for fuckbots... made of soylent.",7.82E+17,FALSE,1,"@Babson MBA, @ZipfianAcademy alum.  All Cretans are liars. Views my own.",,363,374,"San Francisco, CA",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 29 18:17:29 +0000 2016,7.82E+17,soylent,,,,,0,@soylent welcome to my squad :D https://t.co/gHhL8w8biA,7.82E+17,FALSE,1,"Like GoodCo, but bad. So.. BadCo?",,136,841,"San Francisco, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 29 16:32:34 +0000 2016,7.82E+17,soylent,,,,,0,@spencerpratt @soylent everyone in my office is like chugging it rn idk. it's a scene.,7.82E+17,FALSE,1,"Like GoodCo, but bad. So.. BadCo?",,136,841,"San Francisco, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
